,category,rating,label,text_
0,Home_and_Kitchen_5,5.0,CG,love well made sturdi comfort i love veri pretti
1,Home_and_Kitchen_5,5.0,CG,love great upgrad origin i 've mine coupl year
2,Home_and_Kitchen_5,5.0,CG,thi pillow save back i love look feel pillow
3,Home_and_Kitchen_5,1.0,CG,miss inform use great product price i
4,Home_and_Kitchen_5,5.0,CG,veri nice set good qualiti we set two month
5,Home_and_Kitchen_5,3.0,CG,i want differ flavor but they are not
6,Home_and_Kitchen_5,5.0,CG,they perfect touch thing i wish littl space
7,Home_and_Kitchen_5,3.0,CG,these done fit well look great i love smooth edg extra
8,Home_and_Kitchen_5,5.0,CG,great big number easi read thing i n't like size
9,Home_and_Kitchen_5,5.0,CG,my son love comfort well made we also babi
10,Home_and_Kitchen_5,5.0,CG,a advertis 5th one i 've the problem 's realli
11,Home_and_Kitchen_5,5.0,CG,veri handi one kid tool includ packag i one
12,Home_and_Kitchen_5,5.0,CG,did someon say `` orient '' it great product
13,Home_and_Kitchen_5,1.0,CG,these flimsi they qualiti would expect piec furnitur
14,Home_and_Kitchen_5,5.0,CG,make may tea stir the problem 's kind hard put
15,Home_and_Kitchen_5,5.0,CG,absolut ador and excel price we wooden one month
16,Home_and_Kitchen_5,5.0,CG,love perfect size entir famili veri good qualiti
17,Home_and_Kitchen_5,5.0,CG,these look beauti nice the problem 's realli mesh one
18,Home_and_Kitchen_5,5.0,CG,exactli would expect i love look feel pillow
19,Home_and_Kitchen_5,5.0,CG,star i would highli recommend item we love blanket
20,Home_and_Kitchen_5,5.0,CG,great littl egg masher we month 's
21,Home_and_Kitchen_5,5.0,CG,a advertis easi use love color also dimens
22,Home_and_Kitchen_5,5.0,CG,exactli pictur i love look feel pillow
23,Home_and_Kitchen_5,5.0,CG,fantast i want i love look feel pillow
24,Home_and_Kitchen_5,5.0,CG,suppos come extra hardwar the problem 's realli vacuum
25,Home_and_Kitchen_5,5.0,CG,easi use seem easi way make smoothi small person
26,Home_and_Kitchen_5,2.0,CG,not i accustom the reason i gave star i
27,Home_and_Kitchen_5,5.0,CG,nice product seller ye thin plastic piec howev handl
28,Home_and_Kitchen_5,5.0,CG,so good bought second set look like first one i sure
29,Home_and_Kitchen_5,5.0,CG,wonder aroma throughout hous the problem 's kind hard put
30,Home_and_Kitchen_5,5.0,CG,receiv time flat i love look my husband like
31,Home_and_Kitchen_5,3.0,CG,these okay nice one i got local store
32,Home_and_Kitchen_5,3.0,CG,gave away thought would good addit kitchen i
33,Home_and_Kitchen_5,4.0,CG,product fine wish option separ handl
34,Home_and_Kitchen_5,5.0,CG,awesom i say materi good qualiti decent
35,Home_and_Kitchen_5,3.0,CG,way heavi everyday use the reason i gave star one
36,Home_and_Kitchen_5,5.0,CG,well made work great we wooden part cup coupl
37,Home_and_Kitchen_5,5.0,CG,bought go old suction cup i also love remov
38,Home_and_Kitchen_5,5.0,CG,just expect look great design make nice place babi
39,Home_and_Kitchen_5,1.0,CG,aw experi everyth stuck cook evenli the problem 's realli
40,Home_and_Kitchen_5,5.0,CG,doe great job keep suction i also love n't slide
41,Home_and_Kitchen_5,2.0,CG,sheet color is nice buy for my size for my town
42,Home_and_Kitchen_5,5.0,CG,save instead origin ship box i keep money veri pretti
43,Home_and_Kitchen_5,5.0,CG,these towel real nice i love feel they nice feel
44,Home_and_Kitchen_5,5.0,CG,work great easi clean easi clean i purchas veri pretti
45,Home_and_Kitchen_5,3.0,CG,alright price littl disappoint qualiti product
46,Home_and_Kitchen_5,4.0,CG,great qualiti beauti color we one month love
47,Home_and_Kitchen_5,1.0,CG,i put paper one corner cabinet put piec paper corner
48,Home_and_Kitchen_5,5.0,CG,great sticker littl small the reason i gave star one
49,Home_and_Kitchen_5,5.0,CG,great qualiti fabric look great it thick enough hold small amount coffe
50,Home_and_Kitchen_5,5.0,CG,perfect they exactli i need i keep long time
51,Home_and_Kitchen_5,5.0,CG,love movi time took finish i keep review next time
52,Home_and_Kitchen_5,1.0,CG,will seal properli atroci littl one feel like break throw
53,Home_and_Kitchen_5,5.0,CG,got third time i small dog son love throw
54,Home_and_Kitchen_5,5.0,CG,excel product much better qualiti one get walmart
55,Home_and_Kitchen_5,5.0,OR,these perfect exactli i look
56,Home_and_Kitchen_5,5.0,OR,such great purchas ca n't beat price
57,Home_and_Kitchen_5,5.0,OR,what say -- cheap work intend
58,Home_and_Kitchen_5,5.0,OR,these nice sturdi like color choic
59,Home_and_Kitchen_5,5.0,OR,it nice bowl fast ship
60,Home_and_Kitchen_5,5.0,OR,great cup will last forev keep thing cool warm
61,Home_and_Kitchen_5,5.0,OR,love thought would bit bigger
62,Home_and_Kitchen_5,5.0,OR,excel qualiti product perfect ccozinha
63,Home_and_Kitchen_5,5.0,OR,thi fan realli pretti i actual use
64,Home_and_Kitchen_5,1.0,OR,super rough soft wash cloth like bar towel
65,Home_and_Kitchen_5,5.0,OR,like littl guy use often he small
66,Home_and_Kitchen_5,5.0,OR,perfect size .easi unfold topremov storag love
67,Home_and_Kitchen_5,1.0,OR,doe good job difficult use
68,Home_and_Kitchen_5,5.0,OR,frame beauti craft look great pictur
69,Home_and_Kitchen_5,5.0,OR,my hot cocoa final perfect thi product fabul
70,Home_and_Kitchen_5,5.0,OR,bought friend love
71,Home_and_Kitchen_5,5.0,OR,veri soft great qualiti low price
72,Home_and_Kitchen_5,5.0,OR,purchas christma gift she love
73,Home_and_Kitchen_5,5.0,OR,accur descript work great came time 'm happi
74,Home_and_Kitchen_5,5.0,OR,use duvet cover fluffi perfect fit
75,Home_and_Kitchen_5,5.0,OR,one softest blanket ever so nice cozi
76,Home_and_Kitchen_5,5.0,OR,smell great fine mist dri quickli my favorit
77,Home_and_Kitchen_5,5.0,OR,exactli i expect perfect curtain bedroom
